duration,src_bytes,dst_bytes,label
0,491,0,normal
0,146,0,normal
0,0,0,attack
0,232,8153,normal
0,199,420,normal
0,0,0,attack
0,0,0,attack
0,0,0,attack
0,0,0,attack
0,0,0,attack
0,0,0,attack
0,0,0,attack
0,287,2251,normal
0,334,0,attack
0,0,0,attack
0,0,0,attack
0,300,13788,normal
0,18,0,attack
0,233,616,normal
0,343,1178,normal
0,0,0,attack
0,0,0,attack
0,253,11905,normal
5607,147,105,normal
0,0,0,attack
507,437,14421,normal
0,0,0,attack
0,227,6588,normal
0,215,10499,normal
0,241,1400,normal
0,8,0,attack
0,0,0,attack
0,303,555,normal
0,0,0,attack
0,45,45,normal
1,105,147,normal
0,43,43,normal
0,0,0,attack
0,324,2302,normal
0,0,0,attack
0,0,0,attack
0,0,0,attack
2,1591,372,normal
9052,146,105,normal
0,290,3006,normal
0,0,0,attack
0,28,0,attack
0,255,861,normal
0,334,0,attack
0,0,0,attack
0,302,498,normal
0,0,0,attack
0,28,0,attack
0,220,1398,normal
0,43,69,normal
0,44,133,normal
0,8,0,attack
0,0,0,attack
0,0,0,attack
0,43,43,normal
0,641,0,normal
0,0,0,attack
0,0,0,attack
0,310,2794,normal
0,0,0,attack
0,696,333,normal
0,0,0,attack
0,0,0,attack
0,0,0,attack
0,0,0,attack
0,221,2878,normal
0,0,0,attack
0,181,0,normal
0,42,42,normal
0,0,0,attack
0,12,0,normal
0,0,0,attack
0,210,2790,normal
0,321,5683,normal
0,0,0,attack
0,329,3982,normal
0,0,0,attack
0,0,0,attack
0,8,0,attack
0,320,379,normal
0,0,0,attack
0,225,3762,normal
0,0,0,attack
0,0,0,attack
315,146,105,normal
0,247,1416,normal
0,353,1483,normal
0,44,44,normal
0,0,0,attack
0,0,0,attack
2,3065,331,normal
0,102,102,normal
0,259,750,normal
1082,147,105,normal
0,0,0,attack
0,0,354,normal
0,309,306,normal
0,0,0,normal
0,278,7227,normal
0,28,0,attack
0,313,761,normal
0,219,1212,normal
0,245,9165,normal
0,328,2243,normal
0,0,0,normal
0,251,301,normal
0,2089,335,normal
0,0,0,normal
0,237,511,normal
0,324,431,normal
25950,1,0,attack
0,0,0,attack
0,105,145,normal
0,218,974,normal
0,325,2649,normal
0,0,0,attack
0,0,0,attack
0,0,0,attack
240,328,275,normal
0,0,0,attack
0,9,138,normal
0,46,46,normal
1,1079,334,normal
0,45,139,normal
26,273,903,normal
0,0,0,attack
0,0,0,attack
0,237,138,normal
0,225,1357,normal
0,0,0,attack
0,0,0,attack
0,147,0,normal
0,262,1011,normal
0,1032,0,attack
0,0,0,attack
0,261,8412,normal
0,0,0,attack
0,0,0,attack
0,294,1719,normal
0,221,981,normal
0,284,10352,normal
0,0,0,attack
0,309,16096,normal
0,334,0,attack
0,0,0,attack
0,0,0,attack
0,214,283,normal
0,0,0,attack
0,0,0,attack
0,0,0,attack
0,46,78,normal
0,748,0,normal
0,0,0,attack
0,8,0,attack
0,0,0,attack
0,329,8437,normal
0,9,0,normal
0,46,128,normal
0,1766,0,normal
0,0,0,attack
9015,1,0,attack
7,8,135,normal
0,266,529,normal
0,245,0,normal
0,295,465,normal
0,0,0,attack
0,228,6834,normal
0,1032,0,attack
0,0,0,attack
0,0,0,attack
0,0,0,attack
0,0,0,normal
0,0,0,attack
0,1,0,attack
0,0,0,attack
0,30,0,normal
1,2078,333,normal
0,19,0,normal
0,661,329,normal
0,28,0,attack
0,0,0,attack
0,0,0,attack
0,0,0,attack
0,1075,364,normal
0,223,656,normal
15159,350,1185,attack
0,233,2470,normal
0,0,0,attack
0,0,0,attack
0,201,1938,normal
0,271,4781,normal
0,14416,0,normal
0,227,11564,normal
0,0,0,attack
0,225,2445,normal
0,176,426,normal
0,0,0,attack
0,227,762,normal
0,855,575,normal
0,944,330,normal
0,954,326,normal
0,0,0,attack
0,166,34660,normal
0,306,2698,normal
0,0,0,attack
0,0,0,attack
0,1480,0,attack
0,0,0,attack
0,313,8549,normal
0,0,0,attack
0,0,0,attack
0,285,6008,normal
0,226,1411,normal
0,256,12984,normal
1,3740,449,normal
0,224,449,normal
0,0,0,attack
4,832,0,attack
0,0,0,attack
0,8,0,attack
0,201,169,normal
0,285,304,normal
0,0,0,attack
0,7422,0,normal
0,198,12884,normal
20,2310,328,normal
0,331,955,normal
0,65,0,normal
0,28,0,attack
0,45,77,normal
0,0,0,attack
0,0,0,attack
0,0,0,attack
0,9,142,normal
0,283,912,normal
0,221,1789,normal
0,18,0,attack
0,0,0,attack
0,0,0,attack
